# CSV-File created with merge-csv.com
# -----------------------------------------------------------

"",""
"ABIM Laboratory Test Reference Ranges  ̶  January 2025",""
"Laboratory Tests","Reference Ranges"
"1,25-Dihydroxyvitamin D
      (1,25-dihydroxycholecalciferol), serum","See  Vitamin D metabolites"
"1,5-Anhydroglucitol, serum or plasma","Female: 6.8–29.3 μg/mL; male: 10.7–32 μg/mL"
"17-Hydroxycorticosteroids (Porter-Silber), urine","Female: 2–8 mg/24 hr; male: 3–10 mg/24 hr"
"17-Hydroxyprogesterone, serum
     Female, follicular
     Female, luteal
     Female, postmenopausal
     Male (adult)","˂80 ng/dL 
˂285 ng/dL 
˂51 ng/dL 
˂220 ng/dL"
"25-Hydroxyvitamin D
(25-hydroxycholecalciferol), serum","See  Vitamin D metabolites"
"5-Hydroxyindoleacetic acid, urine","2–9 mg/24 hr"
"5'-Nucleotidase, serum","0.3–2.6 (Bodansky) units/dL (0–15 U/L)"
"6-Thioguanine, whole blood","230–400 pmol/8x108 RBCs"
"Absolute basophil count","0–110/μL"
"Absolute eosinophil count","0–330/μL"
"Absolute lymphocyte count","1200–4950/μL"
"Absolute monocyte count","0–660/μL"
"Absolute neutrophil count (ANC)","2000–8250/μL"
"Acid phosphatase, serum
     Total
     Prostatic fraction","0.5–2.0 (Bodansky) units/mL
0.1–0.4 unit/mL"
"ACTH, plasma","10–60 pg/mL"
"Activated partial thromboplastin time","25–35 seconds"
"ADAMTS13 activity",">60%"
"Adrenocorticotropic hormone (ACTH), plasma","10–60 pg/mL"
"Albumin, serum","3.5–5.5 g/dL"
"Albumin, urine","˂25 mg/24 hr"
"Albumin-to-creatinine ratio, urine","˂30 mg/g"
"Aldolase, serum","0.8–3.0 IU/mL"
"Aldosterone, plasma
     Supine or seated
     Standing
 Low-sodium diet (supine)","≤10 ng/dL
˂21 ng/dL
≤30 ng/dL"
"Aldosterone, urine","5–19 μg/24 hr"
"Alkaline phosphatase, serum","30–120 U/L"
"Alpha1-antitrypsin (AAT), serum","150–350 mg/dL"
"Alpha2-antiplasmin activity, plasma","75%–115%"
"Alpha-amino nitrogen, urine","100–290 mg/24 hr"
"Alpha-fetoprotein, serum","˂10 ng/mL"
"Amino acids, urine","200–400 mg/24 hr"
"Aminotransferase, serum alanine (ALT, SGPT)","10–40 U/L"
"Aminotransferase, serum aspartate (AST, SGOT)","10–40 U/L"
"Ammonia, plasma","40–70 μg/dL"
"Amylase, serum","25–125 U/L (80–180 [Somogyi] units/dL)"
"Amylase, urine","1–17 U/hr"
"Angiotensin-converting enzyme, serum","8–53 U/L"
"Anion gap, serum","7–13 mEq/L"
"Antibodies to double-stranded DNA
Anticardiolipin antibodies
     IgG
     IgM","0–7 IU/mL
˂20 GPL
˂20 MPL"
"",""
"Anti-cyclic citrullinated peptide antibodies","˂20 units"
"Antideoxyribonuclease B","˂280 units"
"Anti-F-actin antibodies, serum","≤1:80"
"Antihistone antibodies","˂1:16"
"Anti-liver-kidney microsomal antibodies (anti-LKM)","˂1:20"
"Antimitochondrial antibodies","≤1:5"
"Anti–myelin associated glycoprotein antibody","˂1:1600"
"Antimyeloperoxidase antibodies","˂1.0 U"
"Antinuclear antibodies","≤1:40"
"Anti-phospholipase A2 receptor (PLA2R) antibodies, 
serum
[ELISA]","Negative: <14 RU/mL
Borderline: 14 – <20 RU/mL
Positive: ≥20 RU/mL"
"Anti-RNP antibodies
[by chemiluminescence method]","<20 CU"
"Anti-RNP antibodies
[by multiplex flow immunoassay]","<1.0 AI"
"Anti-Scl-70 antibodies (topoisomerase 1 antibodies), IgG, 
serum","Negative: <1.0 U
[Positive: ≥1.0 U]"
"Anti–smooth muscle antibodies","≤1:80"
"Anti-SSA/Ro & anti-SSB antibodies
[by chemiluminescence method]","<20 CU"
"Anti-SSA/Ro & anti-SSB antibodies
[by multiplex flow immunoassay]","<1.0 AI"
"Antistreptolysin O titer","˂200 Todd units"
"Antithrombin activity","80%–120%"
"Antithyroglobulin antibodies","˂20 U/mL"
"Antithyroid peroxidase antibodies","˂2.0 U/mL"
"Anti-tissue transglutaminase antibodies","See  Tissue transglutaminase antibody"
"Apolipoprotein A-1, serum","Female: ≥140 mg/dL
Male: ≥120 mg/dL"
"Apolipoprotein B, serum","Desirable: ˂90 mg/dL 
Borderline high: 90–119 mg/dL
High: 120–139 mg/dL
Very High: ≥140 mg/dL"
"Arterial blood gas studies (patient
breathing room air):
     pH
     PaCO2
     PaO2
     Bicarbonate
     Oxygen saturation
     Methemoglobin","7.38–7.44
3842 mm Hg
75–100 mm Hg
23–26 mEq/L
≥95%
0.5%–3.0%"
"Ascorbic acid (vitamin C), blood","0.4–1.5 mg/dL"
"Ascorbic acid, leukocyte","16.5 ± 5.1 mg/dL of leukocytes"
"Beta-human chorionic gonadotropin (beta-hCG), serum","Female, premenopausal nonpregnant: ˂1.0 U/L;
female, postmenopausal: ˂7.0 U/L; male: ˂1.4 U/L"
"Beta-human chorionic gonadotropin (beta-hCG), urine","˂2 mIU/24 hr"
"Beta2-glycoprotein I antibodies:
     IgG
     IgM","˂21 SGU
˂21 SMU"
"Beta-hydroxybutyrate, serum","˂0.4 mmol/L"
"Beta2-microglobulin, serum","0.54–2.75 mg/L"
"Bicarbonate, serum","23–28 mEq/L"
"Bilirubin, serum 
     Total
     Direct
     Indirect","0.3–1.0 mg/dL
0.1–0.3 mg/dL
0.2–0.7 mg/dL"
"Bleeding time (template)","˂8 minutes"
"Blood urea nitrogen (BUN), serum or plasma","8–20 mg/dL"
"Bone-specific alkaline phosphatase, serum","Female, premenopausal: 4.5–16.9 µg/L
Female, postmenopausal: 7.0–22.4 µg/L
Male, 25 years of age or older: 6.5–20.1 µg/L"
"B-type natriuretic peptide, plasma","˂100 pg/mL"
"C peptide, serum","0.8–3.1 ng/mL"
"Calcitonin, serum","Female: ≤5 pg/mL; male: ≤10 pg/mL"
"Calcium, ionized, serum","1.12–1.23 mmol/L"
"Calcium, serum","8.6–10.2 mg/dL"
"Calcium, urine","Female: ˂250 mg/24 hr; male: ˂300 mg/24 hr"
"Carbohydrate antigens, serum
      CA 19-9
      CA 27-29
      CA 125","0–37 U/mL
˂38.0 U/mL
˂35 U/mL"
"Carbon dioxide, serum","23–30 mEq/L"
"Carboxyhemoglobin, blood","˂5%"
"Carcinoembryonic antigen, plasma","˂2.5 ng/mL"
"Carotene, serum","75–300 μg/dL"
"Catecholamines, plasma
      Dopamine
      Epinephrine
           Supine
           Standing
      Norepinephrine
           Supine
           Standing","˂30 pg/mL
˂50 pg/mL
˂95 pg/mL
112–658 pg/mL
217–1109 pg/mL"
